N,Z,closure,intensity,pdf_ref,pdf_finite
512,15.0,open,1.018730078711926,13.726335221591176,13.80522220562331
512,15.0,open,1.0202774862341895,12.38525649304669,13.805222205625292
512,15.0,open,1.0218248937564527,11.83304760481998,12.306369509012779
512,15.0,open,1.0233723012787161,9.86087300401665,9.62421205192025
512,15.0,open,1.0249197088009794,7.809811419182307,8.125359355310886
512,15.0,open,1.0264671163232428,5.600975866281457,5.91652380240999
512,15.0,open,1.0280145238455063,4.733219041928671,5.048766978057249
512,15.0,open,1.0295619313677695,3.471027297413861,3.471027297413861
512,15.0,open,1.0311093388900328,3.3921403133822143,2.682157457092914
512,15.0,open,1.0326567464122962,3.155479361285328,3.0765923772531947
512,15.0,open,1.0342041539345597,2.9188184091889284,3.3132533293495943
512,15.0,open,1.0357515614568231,2.3666095209643356,1.656626664675035
512,15.0,open,1.0372989689790864,1.2621917445141313,2.051061584835463
512,15.0,open,1.0388463765013496,1.4988526966107458,1.1833047604821678
512,15.0,open,1.040393784023613,1.3410787285462644,1.6566266646747971
512,15.0,open,1.0419411915458765,0.8677568243534652,0.788869840321332
512,15.0,open,1.04348859906814,1.4199657125786014,1.0255307924178787
512,15.0,open,1.0450360065904032,0.7099828562891988,0.6310958722570656
512,15.0,open,1.0465834141126664,1.1833047604821678,1.2621917445143123
512,15.0,open,1.0481308216349299,1.0255307924177315,1.2621917445141313
512,15.0,open,1.0496782291571933,0.5522088882250117,1.1044177764500234
512,15.0,open,1.0512256366794566,0.3155479361285328,0.3155479361285328
512,15.0,open,1.05277304420172,0.788869840321332,0.4733219041927992
512,15.0,open,1.0543204517239833,0.31554793612857807,0.15777396806428903
512,15.0,open,1.0558678592462467,0.0788869840321332,0.3155479361285328
512,15.0,open,1.0574152667685102,0.07888698403214452,0.15777396806428903
512,15.0,open,1.0589626742907734,0.1577739680642664,0.0788869840321332
512,15.0,open,1.0605100818130366,0.0,0.07888698403214452
512,15.0,open,1.0620574893353,0.1577739680642664,0.0788869840321332
512,15.0,open,1.0636048968575635,0.0788869840321332,0.2366609520963996
512,15.0,open,1.065152304379827,0.07888698403214452,0.07888698403214452
